"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpc3",5.61676553660997e-119,1.68891694242361,0.991,0.855,5.72348408180556e-115,"0","Gpc3"
"Cdh11",7.93461311565704e-107,1.43405911265903,0.992,0.937,8.08537076485452e-103,"0","Cdh11"
"Prrx1",1.04842778151531e-99,2.08783617769382,0.911,0.622,1.0683479093641e-95,"0","Prrx1"
"Slit3",1.31356785587859e-98,1.73302468537067,0.96,0.794,1.33852564514028e-94,"0","Slit3"
"Col1a2",9.27745064656216e-92,1.38412491971382,0.987,0.832,9.45372220884684e-88,"0","Col1a2"
"Ror1",1.38289827854888e-90,1.68528919415103,0.898,0.661,1.40917334584131e-86,"0","Ror1"
"Fbxl7",8.41682052712489e-82,1.0729735860631,0.998,0.972,8.57674011714027e-78,"0","Fbxl7"
"Dnm3os",1.00782122348329e-80,1.79951012329797,0.748,0.311,1.02696982672947e-76,"0","Dnm3os"
"Airn",2.68525873845112e-79,1.00602814094002,1,0.903,2.73627865448169e-75,"0","Airn"
"Col1a1",4.31763334648952e-79,1.40906170810731,0.977,0.812,4.39966838007282e-75,"0","Col1a1"
"Gpc6",3.21607899939643e-78,1.21035240336315,1,1,3.27718450038496e-74,"0","Gpc6"
"Gxylt2",5.76089551094641e-77,1.80176127729998,0.699,0.258,5.87035252565439e-73,"0","Gxylt2"
"Fstl1",1.74154094371637e-76,1.27227524768562,0.944,0.757,1.77463022164698e-72,"0","Fstl1"
"Fbn2",4.71797276307456e-76,1.14918609359233,0.981,0.906,4.80761424557297e-72,"0","Fbn2"
"Hmcn1",2.7691577702732e-75,1.60103187039401,0.885,0.653,2.82177176790839e-71,"0","Hmcn1"
"Ddr2",4.16575725409695e-72,1.62023011684749,0.759,0.345,4.24490664192479e-68,"0","Ddr2"
"Col3a1",2.8804526991091e-71,1.29045682693386,0.957,0.768,2.93518130039217e-67,"0","Col3a1"
"Arhgap24",1.24730306816062e-68,1.67783341036177,0.864,0.616,1.27100182645567e-64,"0","Arhgap24"
"Col5a2",3.22168261956317e-68,1.3204202798113,0.908,0.627,3.28289458933487e-64,"0","Col5a2"
"Grb10",3.76878251185547e-68,0.966131559678476,0.985,0.889,3.84038937958072e-64,"0","Grb10"
"Mme",3.71535781312942e-66,2.03373171500885,0.616,0.224,3.78594961157888e-62,"0","Mme"
"Bnc2",7.57655679450133e-63,1.28334912886649,0.962,0.866,7.72051137359686e-59,"0","Bnc2"
"Palld",1.05929573226779e-62,1.0510292288747,0.97,0.844,1.07942235118088e-58,"0","Palld"
"Pdzrn3",3.29435466997483e-61,1.12511207377392,0.938,0.817,3.35694740870435e-57,"0","Pdzrn3"
"Pdgfra",1.01074170694735e-60,1.50425107520604,0.719,0.331,1.02994579937935e-56,"0","Pdgfra"
"Col6a3",1.27974277586873e-60,1.70467575447833,0.637,0.257,1.30405788861024e-56,"0","Col6a3"
"Dock1",8.54697822912478e-60,1.13902978358841,0.911,0.711,8.70937081547815e-56,"0","Dock1"
