"","Cavity","Muscle","Cartilage","Jaw and tooth","Liver","Brain","Spinal cord","Connective tissue","GI track","Heart","Dorsal root ganglia","Lung","Olfactory epithelium"
"Aff4(+)",-1.25137661429951,-0.0256287766382779,0.693825418967285,-0.495661130686056,-1.68963007045649,1.57361126973796,-0.638237920544749,-0.0298930165019065,0.749871874938605,-0.563358283118017,0.769514187814513,-0.567267988728539,1.47423104951518
"Alx1(+)",-0.203694959168467,0.447657930976757,0.879374093589849,2.74866288441874,-0.924630720281672,-1.11217869712193,-0.756569925561027,-0.340847930641423,0.0831485654318265,0.0692944167693981,-0.706412170156613,-0.33845811603572,0.154654627780277
"Alx3(+)",0.076012012787748,0.0761182034138416,-0.100992123978271,3.20966794820003,-0.459245848958317,-0.320969002954721,-0.517219639288914,-0.230971243281922,0.244417828685843,-0.437044106998323,-0.507160767069922,-0.502816225454613,-0.529797035102464
"Alx4(+)",0.118877220296758,0.883413453298997,0.514650896417955,2.4011326423468,-0.799612701422807,-1.36621280182004,-1.25548496773225,0.380951079764111,0.328602512430031,-0.194939575645187,-0.88914084908382,-0.017313121366509,-0.104923787484035
"Arid3a(+)",0.860536302293172,0.0106431652007033,-0.315731507112079,-0.488212466031081,-0.68407557534654,-1.05489889993824,-0.786289748765967,2.38559361862753,-0.569298884458822,0.777169179226901,0.830598189826895,0.204969464793306,-1.17100283831577
"Arid5b(+)",0.0468173785721701,1.0693692461349,0.574325391156609,2.19556693693982,-0.823609202392384,-1.83664512739897,-0.887033798883062,-0.0364845067673448,0.366128376619509,-0.121816196026628,-0.803764974848756,0.263010460323359,-0.00586398342921618
"Arnt(+)",-0.0152451855739561,-0.665597998631169,-0.0782173759235563,-0.623901520440756,1.18840284849817,0.231832154031138,-2.0123534881068,-0.105523210998916,-0.13855162588579,-0.917265481805005,1.76326695349217,0.0856743486424671,1.287479582702
"Arx(+)",-0.168703012942309,-0.857082303300906,-0.417683637260514,-0.243375364680548,-0.865887254376613,2.36692816273998,1.69957398188011,-0.2344986897174,-0.525070097582684,-0.381219311875483,0.0582887000395503,-0.987058056197092,0.55578688327391
"Atf4(+)",0.648029846267129,-0.577193793659948,-0.408611018512794,-0.620748945714633,2.51865266612544,-0.53487505564048,-0.485911697966932,1.60454732680379,-0.620748945714633,0.0303198337887156,-0.311962324346386,-0.620748945714633,-0.620748945714633
"Atf6(+)",-0.137172867900048,-0.36700734071138,-0.376543406892483,-0.377763213998859,3.26768795498056,-0.371944400542526,-0.317784140381619,0.27745184748809,-0.362802006479861,-0.105607216690524,-0.356034153032223,-0.387609508374322,-0.384871547464811
"Atf7(+)",0.638089755586669,1.89796953140907,0.276917956367949,0.29217085759687,-0.680972053940399,-1.53345001958689,-1.46114684926451,0.0402192552203934,-0.12465649262777,-0.861015498602334,1.26903643187048,0.612776036548485,-0.365938910578006
"Bach1(+)",-0.0287881269431964,-0.624921221777351,-0.552498224966415,-0.726925327238847,0.332876730708956,0.988925824722681,0.488577147282437,-0.284089798249325,-0.640885086100847,-0.424131784727467,2.80669121399012,-0.605167194570758,-0.729664152129989
"Bach2(+)",-0.512017277079669,-0.500624321979323,-0.652768098691885,-0.0389125646834272,-0.616547141512644,1.17307151315153,2.41903908493479,-0.826962409018581,-0.864329843110304,-0.572003914741086,1.07365979018186,-0.559174654543459,0.477569837092197
"Barhl1(+)",-0.486261703072212,-0.0269068996318673,-0.349876602546631,0.0610564936917872,-0.746968273504292,1.93895277708855,2.02498684839829,-0.410595886816203,-1.12795935854992,0.28981746395268,0.0468626901471996,-1.29783023844708,0.0847226892896964
"Barx1(+)",-0.0757272455874003,-0.708914208766082,-0.676328937587656,-0.0410964561312814,-0.323405429520106,-0.765757547202527,-0.474493017488613,-0.248246742482841,2.4017480211442,-0.40184938327414,-0.510044657587212,1.96113587624759,-0.137020271763932
"Bcl11a(+)",-0.472126847380133,-0.57208539415983,-0.497229513106385,0.10903725912911,-0.324249131898194,1.15293495874412,2.67844500777912,-0.70003770261216,-0.964900870391522,-0.587787500750897,0.377975323546713,-0.671294615157365,0.471319026257425
"Bcl6(+)",-0.130208426503668,-0.404275129848423,-0.357653184375532,-0.291843368331344,-0.363236196790624,-0.358993428486587,-0.255358103231491,-0.324619762339685,-0.327375081297371,-0.408907704796581,0.1265553314705,-0.197375570816776,3.29329062534758
