"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.6971328273008,0.715,0.193,0,"E11.5","Trim71"
0,3.66138414626961,0.486,0.055,0,"E11.5","Gm54109"
0,9.31306801705874,0.361,0,0,"E11.5","Lin28a"
0,9.11027742399144,0.336,0,0,"E11.5","Plk3"
7.58164382444976e-298,1.13336384253718,1,0.972,1.02549314369507e-293,"E11.5","Hsp90aa1"
4.82307359600485e-285,1.48994625371322,0.998,0.873,6.52368934595617e-281,"E11.5","Nes"
1.60403092781392e-276,3.12908508604087,0.613,0.135,2.16961223296111e-272,"E11.5","Hbb-bh1"
3.16946415922519e-270,4.34572560372457,0.387,0.031,4.287017221768e-266,"E11.5","Mir217hg"
1.42047365899912e-269,1.72590359559839,0.962,0.616,1.9213326711622e-265,"E11.5","Prtg"
1.00593454341167e-267,9.81221535311027,0.28,0,1.36062706341862e-263,"E11.5","Chat"
7.55549476137452e-266,1.02841615255109,0.999,0.991,1.02195622142352e-261,"E11.5","Hsp90ab1"
5.04319884676152e-258,3.20060023381553,0.85,0.388,6.82143076012964e-254,"E11.5","Glra1"
2.70252704569716e-256,3.09289694808182,0.664,0.199,3.65543808200998e-252,"E11.5","Crabp1"
3.31341751106744e-256,2.60911239491861,0.929,0.507,4.48172852546981e-252,"E11.5","Nefm"
7.54581956513203e-251,8.51210186050737,0.264,0,1.02064755437976e-246,"E11.5","Nat8l"
7.54581956513203e-251,8.60906264201538,0.264,0,1.02064755437976e-246,"E11.5","Gm56569"
1.26644441525523e-249,1.78477909272008,0.979,0.805,1.71299271607422e-245,"E11.5","Gm17167"
2.54114049819921e-249,9.47928228702209,0.262,0,3.43714663786425e-245,"E11.5","G630064G18Rik"
8.79779522081598e-248,0.997431977794341,0.999,0.968,1.18998978156757e-243,"E11.5","Eif4g2"
9.55525063735933e-245,9.40150094498818,0.258,0,1.29244320120922e-240,"E11.5","Otp"
6.09811317680849e-241,9.10416421406756,0.254,0,8.24830788295117e-237,"E11.5","St8sia3os"
3.5103052705111e-240,8.72533742509363,0.253,0,4.74803890889331e-236,"E11.5","Gm20501"
3.82950059328834e-237,8.96437784216943,0.25,0,5.17978250248181e-233,"E11.5","Neurod4"
3.88886363657319e-236,1.04623705449907,0.998,0.94,5.2600769548289e-232,"E11.5","Tubb5"
1.12703329128542e-231,0.960364063857606,0.998,0.973,1.52442522979267e-227,"E11.5","Scd2"
5.4763940364353e-221,1.89136192384527,0.869,0.506,7.40737057368239e-217,"E11.5","Greb1"
1.14327657639378e-219,2.4602459330139,0.916,0.478,1.54639589723023e-215,"E11.5","Hba-x"
1.39085685923942e-210,1.1128571340559,0.983,0.889,1.88127298780724e-206,"E11.5","Pkm"
2.9318766543987e-208,3.99857618976397,0.328,0.033,3.96565636273969e-204,"E11.5","Usp44"
2.0154170010622e-204,0.850526618341962,1,0.999,2.72605303563673e-200,"E11.5","Actb"
2.93998131682584e-203,1.76413744187706,0.855,0.47,3.97661872913863e-199,"E11.5","Gm14342"
4.28889134273561e-203,1.07811020888286,0.993,0.943,5.80115443018418e-199,"E11.5","Igf2bp1"
4.12537961871147e-200,0.755172028910408,1,1,5.57998847226913e-196,"E11.5","Sox11"
8.32449434248132e-198,1.19727273794789,0.992,0.893,1.12597110476402e-193,"E11.5","Vim"
1.24579627111215e-197,1.44382995699809,0.967,0.778,1.68506403630629e-193,"E11.5","Spsb4"
1.10950262606463e-194,1.97881275342319,0.622,0.201,1.50071325201502e-190,"E11.5","Hes5"
8.47287119159403e-191,1.45506202051963,0.963,0.763,1.14604055737501e-186,"E11.5","Lama1"
3.40968559995887e-188,2.1164085874327,0.622,0.222,4.61194074250437e-184,"E11.5","Dll3"
6.7612443451661e-188,1.18427647507988,0.966,0.792,9.14525910127166e-184,"E11.5","Golm1"
4.95412178447347e-187,0.867379417237729,0.994,0.961,6.70094512567881e-183,"E11.5","Ddx3x"
5.72173421984502e-187,1.5054823715435,0.954,0.707,7.73921770576238e-183,"E11.5","Ccnd1"
1.8238302125029e-183,4.42711821688577,0.265,0.019,2.46691274543142e-179,"E11.5","Ppp1r17"
1.89623830485856e-183,0.765094820348889,1,0.989,2.56485193115169e-179,"E11.5","Ptma"
2.46244254785813e-181,0.901529372280927,1,0.968,3.33069979023291e-177,"E11.5","Hmgb1"
1.48438432544002e-179,2.12359706428819,0.504,0.135,2.00777823859017e-175,"E11.5","Metrn"
1.9772072745887e-176,1.04419923144236,0.988,0.86,2.67437055960868e-172,"E11.5","Rpsa"
4.52476973118222e-172,2.50690777063614,0.437,0.103,6.12020353839707e-168,"E11.5","Btbd17"
5.31746116888347e-172,1.11107183818393,0.979,0.787,7.19239797703178e-168,"E11.5","Rpl8"
7.73565719402303e-172,3.65853015857384,0.429,0.102,1.04632499206355e-167,"E11.5","Hoxb9"
1.27466792841113e-171,1.06701962588496,0.973,0.825,1.7241158399689e-167,"E11.5","Igdcc3"
4.9688704239406e-171,0.989419542744347,0.987,0.891,6.72089413542206e-167,"E11.5","Rpl41"
7.28216679506899e-167,2.69375357587287,0.58,0.222,9.84985880701032e-163,"E11.5","Hoxd4"
1.57216902303003e-166,2.2179492451982,0.869,0.535,2.12651582055041e-162,"E11.5","Nefl"
2.6208921072493e-165,1.22330021027244,0.967,0.776,3.54501866426541e-161,"E11.5","Gapdh"
