"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.9","seurat_clusters","RNA_snn_res.1","celltype","Size_Factor","Pseudotime","State"
"48x3_1","41_2",17454.1242900448,4752,0.323794020736974,18587,4641,"20","Dpall 2","15","Dpall 2",0.540489596866781,27.5352515348819,"13"
"48x17_1","41_2",28794.966163265,6537,0.29781709433824,19890,5900,"21","Spall 1","5","Spall 1",0.894431845986442,28.5357944302156,"1"
"48x18_1","41_2",39943.2481264623,6878,0.248733151455583,19857,5906,"12","Spall 3","18","Spall 3",1.2437434871833,34.9949210678562,"1"
"48x15_1","41_2",29036.9835857889,6162,0.289469886138959,19884,5458,"21","Spall 1","5","Spall 1",0.902338530262789,31.2054103315723,"1"
"48x16_1","41_2",26931.007917774,6170,0.299794880766502,19865,5547,"21","Spall 1","5","Spall 1",0.83621848924266,28.874705807268,"1"
"48x4_1","41_2",24510.7788765226,5536,0.228184998192627,19608,5203,"20","Dpall 1","13","Dpall 1",0.758695182453457,26.3877732915624,"13"
"49x3_1","41_2",13964.5537041467,4430,0.227055603115625,18002,4383,"20","Dpall 2","15","Dpall 2",0.432725585275613,27.4107314797686,"13"
"49x17_1","41_2",33754.941663512,6738,0.237198831311116,19783,6124,"12","Spall 2","17","Spall 2",1.04765141698306,31.3942709837351,"1"
"49x15_1","41_2",21083.4913397041,5845,0.237293938844584,18991,5476,"21","Spall 1","5","Spall 1",0.652569209039062,25.7124485607456,"2"
"49x16_1","41_2",16640.9375478422,5471,0.371443705789574,18448,5246,"21","Spall 1","5","Spall 1",0.514217984570074,26.8655473502831,"1"
"49x4_1","41_2",24014.6286231837,5508,0.240036451035812,19528,5203,"20","Dpall 1","13","Dpall 1",0.743165320508281,26.4995942626343,"13"
"56x13_1","41_2",32724.3034965735,6053,0.255656615844298,19503,5332,"20","Dpall 2","15","Dpall 2",1.01870224228202,27.5034825935214,"13"
"56x12_1","41_2",48439.4312022148,7229,0.219731222034653,19730,5518,"20","Dpall 1","13","Dpall 1",1.50696362189707,24.2091798215496,"13"
"56x6_1","41_2",19790.7855511633,5219,0.286275832854702,18845,5009,"20","Dpall 2","15","Dpall 2",0.612594777378965,26.7231471257989,"13"
"56x5_1","41_2",3211.32109605805,2520,0.518562552662197,16643,4785,"5","Dpall 2","15","Dpall 2",0.0980932862013728,34.7422348302408,"1"
"37x13_1","41_2",39656.3476557049,6687,0.248004850551422,19818,5706,"20","Spall 2","17","Spall 2",1.23322224197095,25.3709209386494,"2"
"37x17_1","41_2",49287.1455843151,7387,0.337760523484175,19454,5596,"21","Spall 2","17","Spall 2",1.53521978044641,29.8964650928568,"1"
